Depth,Temp,Sal,,,,,,,,,,Depth,Temp,Sal,,,,Depth,Temperature,Sal
481,9.99,35.2,,,,,,,,,,481,9.99,35.72,,,,481,6.99,35.2
483,9.93,35.19,,,,,,,,,,483,9.93,35.71,,,,483,6.93,35.19
484,9.93,35.18,,,,,,,,,,484,9.93,35.7,,,,484,6.93,35.18
485,9.88,35.18,,,,,,,,,,485,9.88,35.7,,,,485,6.88,35.18
486,9.91,35.17,,,,,,,,,,486,9.91,35.69,,,,486,6.91,35.17
487,9.82,35.18,,,,,,,,,,487,9.82,35.7,,,,487,6.82,35.18
488,9.79,35.17,,,,,,,,,,488,9.79,35.69,,,,488,6.79,35.17
489,9.88,35.17,,,,,,,,,,489,9.88,35.69,,,,489,6.88,35.17
490,9.78,35.17,,,,,,,,,,490,9.78,35.69,,,,490,6.78,35.17
491,9.92,35.2,,,,,,,,,,491,9.92,35.72,,,,491,6.92,35.2
493,9.94,35.2,,,,,,,,,,493,9.94,35.72,,,,493,6.94,35.2
494,9.97,35.21,,,,,,,,,,494,9.97,35.73,,,,494,6.97,35.21
495,9.75,35.16,,,,,,,,,,495,9.75,35.68,,,,495,6.75,35.16
496,9.77,35.16,,,,,,,,,,496,9.77,35.68,,,,496,6.77,35.16
497,9.72,35.16,,,,,,,,,,497,9.72,35.68,,,,497,6.72,35.16
498,9.74,35.15,,,,,,,,,,498,9.74,35.67,,,,498,6.74,35.15
499,9.9,35.21,,,,,,,,,,499,9.9,35.73,,,,499,6.9,35.21
500,9.7,35.15,,,,,,,,,,500,9.7,35.67,,,,500,6.7,35.15
501,9.89,35.2,,,,,,,,,,501,9.89,35.72,,,,501,6.89,35.2
502,9.67,35.14,,,,,,,,,,502,9.67,35.66,,,,502,6.67,35.14
504,9.76,35.18,,,,,,,,,,504,9.76,35.7,,,,504,6.76,35.18
506,9.7,35.16,,,,,,,,,,506,9.7,35.68,,,,506,6.7,35.16
507,9.62,35.14,,,,,,,,,,507,9.62,35.66,,,,507,6.62,35.14
508,9.59,35.13,,,,,,,,,,508,9.59,35.65,,,,508,6.59,35.13
510,9.56,35.13,,,,,,,,,,510,9.56,35.65,,,,510,6.56,35.13
512,9.53,35.13,,,,,,,,,,512,9.53,35.65,,,,512,6.53,35.13
514,9.53,35.13,,,,,,,,,,514,9.53,35.65,,,,514,6.53,35.13
516,9.39,35.11,,,,,,,,,,516,9.39,35.63,,,,516,6.39,35.11
518,9.42,35.11,,,,,,,,,,518,9.42,35.63,,,,518,6.42,35.11
520,9.32,35.1,,,,,,,,,,520,9.32,35.62,,,,520,6.32,35.1
522,9.61,35.17,,,,,,,,,,522,9.61,35.69,,,,522,6.61,35.17
